Version,short,middle-256,long-1k,long-2k
Version 1,3.014459081333674,51.65168386966737,193.5562608363325,452.2488819849993
Version 2,2.9261206166665943,48.15498168099899,184.84621568199995,439.91004680100014
Version 3,3.0996404236672483,37.44160778500009,143.71954272933363,338.97182712166733
Version 4,4.95926799299923,52.88433595033348,185.34632598199946,425.33120732933213
Version 5,7.777303502665745,55.64906163933241,188.04082651766657,429.833641514997
Version 6,3.1935106846673684,50.60928086633188,183.0786338393324,422.609519219334
